exercise_name,variation_name,difficulty_level,target_muscle_group,prime_mover_muscle,secondary_muscle,tertiary_muscle,primary_equipment,num_primary_items,secondary_equipment,num_secondary_items,posture,single_or_double_arm,continuous_or_alternating_arms,grip,load_position_ending,continuous_or_alternating_legs,foot_elevation,combination_exercises,movement_pattern_1,movement_pattern_2,movement_pattern_3,plane_of_motion_1,plane_of_motion_2,plane_of_motion_3,body_region,force_type,mechanics,laterality,primary_exercise_classification,time_or_reps,num_sets,time_per_set,rest_time,total_time_seconds,num_reps_per_set,URL
Macebell Offset Bicep Curl,3 sets of 10 reps with 60 seconds rest,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Macebell,1,,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding,rep,3.0,30.0,60.0,210.0,10.0,https://youtu.be/gdxekHuSe_A?si=TGhgI374D-OSzyyz
Macebell Offset Bicep Curl,4 sets of 15 reps with 45 seconds rest,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Macebell,1,,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding,rep,4.0,45.0,45.0,270.0,15.0,https://youtu.be/gdxekHuSe_A?si=TGhgI374D-OSzyyz
Macebell Offset Bicep Curl,5 sets of 8 reps with 90 seconds rest,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Macebell,1,,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding,rep,5.0,24.0,90.0,480.0,8.0,https://youtu.be/gdxekHuSe_A?si=TGhgI374D-OSzyyz
Macebell Offset Bicep Curl,3 sets of 45 seconds continuous slow curls with 60 seconds rest,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Macebell,1,,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding,time,3.0,45.0,60.0,255.0,,https://youtu.be/gdxekHuSe_A?si=TGhgI374D-OSzyyz
Macebell Offset Bicep Curl,4 sets of 60 seconds continuous curls with 30 seconds rest,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Macebell,1,,0,Standing,Double Arm,Continuous,Supinated,Other,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding,time,4.0,60.0,30.0,270.0,,https://youtu.be/gdxekHuSe_A?si=TGhgI374D-OSzyyz
Double Kettlebell Bottoms Up Decline Bench Press,"3 sets of 8 reps, 60 seconds rest",Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Decline),1,Supine,Double Arm,Continuous,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,rep,3.0,32.0,60.0,216.0,8.0,
Double Kettlebell Bottoms Up Decline Bench Press,"4 sets of 10 reps, 90 seconds rest",Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Decline),1,Supine,Double Arm,Continuous,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,rep,4.0,40.0,90.0,430.0,10.0,
Double Kettlebell Bottoms Up Decline Bench Press,"5 sets of 5 reps, 120 seconds rest",Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Decline),1,Supine,Double Arm,Continuous,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,rep,5.0,20.0,120.0,580.0,5.0,
Double Kettlebell Bottoms Up Decline Bench Press,"3 sets of 12 reps, 45 seconds rest",Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Decline),1,Supine,Double Arm,Continuous,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,rep,3.0,48.0,45.0,234.0,12.0,
Double Kettlebell Bottoms Up Decline Bench Press,"5 sets of 8 reps, 75 seconds rest",Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Decline),1,Supine,Double Arm,Continuous,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,rep,5.0,32.0,75.0,460.0,8.0,
Parallette L Sit to Tuck Planche,3 sets of 10-second holds with 60-second rest,Expert,Abdominals,Rectus Abdominis,,,Parallette Bars,2,,0,L Sit,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Combo Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,time,3.0,10.0,60.0,210.0,,https://youtu.be/NUvTsZxo5nk
Parallette L Sit to Tuck Planche,4 sets of 20-second holds with 90-second rest,Expert,Abdominals,Rectus Abdominis,,,Parallette Bars,2,,0,L Sit,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Combo Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,time,4.0,20.0,90.0,440.0,,https://youtu.be/NUvTsZxo5nk
Parallette L Sit to Tuck Planche,5 sets of 30-second holds with 120-second rest,Expert,Abdominals,Rectus Abdominis,,,Parallette Bars,2,,0,L Sit,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Combo Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,time,5.0,30.0,120.0,750.0,,https://youtu.be/NUvTsZxo5nk
Alternating Double Kettlebell Bottoms Up Decline Bench Press,"3 sets of 8 reps, 60s rest",Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Decline),1,Supine,Double Arm,Alternating,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,rep,3.0,24.0,60.0,192.0,8.0,
Alternating Double Kettlebell Bottoms Up Decline Bench Press,"4 sets of 10 reps, 60s rest",Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Decline),1,Supine,Double Arm,Alternating,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,rep,4.0,30.0,60.0,300.0,10.0,
Alternating Double Kettlebell Bottoms Up Decline Bench Press,"5 sets of 6 reps, 90s rest",Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Decline),1,Supine,Double Arm,Alternating,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,rep,5.0,18.0,90.0,450.0,6.0,
Alternating Double Kettlebell Bottoms Up Decline Bench Press,"3 sets of 15 reps, 45s rest",Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Decline),1,Supine,Double Arm,Alternating,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,rep,3.0,45.0,45.0,225.0,15.0,
Alternating Double Kettlebell Bottoms Up Decline Bench Press,"3 sets of 40s work, 60s rest",Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Decline),1,Supine,Double Arm,Alternating,Bottoms Up,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,time,3.0,40.0,60.0,240.0,,
Landmine Standing Oblique Twist,3 sets of 12 reps with 45 seconds rest,Intermediate,Abdominals,Obliques,,,Landmine,1,,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,3.0,36.0,45.0,198.0,12.0,https://youtu.be/TynRdGZTtE0
Landmine Standing Oblique Twist,4 sets of 15 reps with 60 seconds rest,Intermediate,Abdominals,Obliques,,,Landmine,1,,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,4.0,45.0,60.0,360.0,15.0,https://youtu.be/TynRdGZTtE0
Landmine Standing Oblique Twist,4 sets of 30 seconds with 30 seconds rest,Intermediate,Abdominals,Obliques,,,Landmine,1,,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,4.0,30.0,30.0,210.0,,https://youtu.be/TynRdGZTtE0
Landmine Standing Oblique Twist,3 sets of 40 seconds with 45 seconds rest,Intermediate,Abdominals,Obliques,,,Landmine,1,,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,3.0,40.0,45.0,210.0,,https://youtu.be/TynRdGZTtE0
Landmine Standing Oblique Twist,3 sets of 45 seconds with 30 seconds rest,Intermediate,Abdominals,Obliques,,,Landmine,1,,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,3.0,45.0,30.0,195.0,,https://youtu.be/TynRdGZTtE0
Cable Rope Tall Kneeling High to Low Chop,3 sets of 10 reps with 60 sec rest,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,,0,Tall Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,3.0,35.0,60.0,225.0,10.0,https://youtu.be/h-af-afj-Xg
Cable Rope Tall Kneeling High to Low Chop,4 sets of 12 reps with 45 sec rest,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,,0,Tall Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,4.0,42.0,45.0,303.0,12.0,https://youtu.be/h-af-afj-Xg
Cable Rope Tall Kneeling High to Low Chop,3 sets of 8 reps with 90 sec rest,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,,0,Tall Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,3.0,28.0,90.0,264.0,8.0,https://youtu.be/h-af-afj-Xg
Cable Rope Tall Kneeling High to Low Chop,5 sets of 15 reps with 30 sec rest,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,,0,Tall Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,5.0,52.5,30.0,382.5,15.0,https://youtu.be/h-af-afj-Xg
Cable Rope Tall Kneeling High to Low Chop,2 sets of 8 reps with 60 sec rest,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,,0,Tall Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,2.0,28.0,60.0,116.0,8.0,https://youtu.be/h-af-afj-Xg
Single Arm Parallette Plank,4 sets of 30 seconds hold with 45 seconds rest,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars,1,,0,Prone,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,time,4.0,30.0,45.0,255.0,,https://youtu.be/NrkFLTzLuSM
Single Arm Parallette Plank,5 sets of 20 seconds hold with 30 seconds rest,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars,1,,0,Prone,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,time,5.0,20.0,30.0,220.0,,https://youtu.be/NrkFLTzLuSM
Single Arm Parallette Plank,3 sets of 45 seconds hold with 60 seconds rest,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars,1,,0,Prone,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,time,3.0,45.0,60.0,255.0,,https://youtu.be/NrkFLTzLuSM
Single Arm Parallette Plank,3 sets of 60 seconds hold with 90 seconds rest,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars,1,,0,Prone,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,time,3.0,60.0,90.0,360.0,,https://youtu.be/NrkFLTzLuSM
Single Arm Parallette Plank,4 sets of 15 seconds hold with 90 seconds rest,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars,1,,0,Prone,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,time,4.0,15.0,90.0,330.0,,https://youtu.be/NrkFLTzLuSM
Single Arm Suspension Plank,3 sets of 20 seconds hold with 45 seconds rest,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,,0,Prone,Single Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,time,3.0,20.0,45.0,150.0,,https://youtu.be/hetklTC7y4M?si=gHU6ufU8oAcg21Jv
Single Arm Suspension Plank,4 sets of 30 seconds hold with 60 seconds rest,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,,0,Prone,Single Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,time,4.0,30.0,60.0,300.0,,https://youtu.be/hetklTC7y4M?si=gHU6ufU8oAcg21Jv
Single Arm Suspension Plank,5 sets of 45 seconds hold with 90 seconds rest,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,,0,Prone,Single Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,time,5.0,45.0,90.0,585.0,,https://youtu.be/hetklTC7y4M?si=gHU6ufU8oAcg21Jv
Single Arm Suspension Plank,5 sets of 25 seconds hold with 30 seconds rest,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,,0,Prone,Single Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,time,5.0,25.0,30.0,245.0,,https://youtu.be/hetklTC7y4M?si=gHU6ufU8oAcg21Jv
Single Arm Suspension Plank,4 sets of 40 seconds hold with 45 seconds rest,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,,0,Prone,Single Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,time,4.0,40.0,45.0,295.0,,https://youtu.be/hetklTC7y4M?si=gHU6ufU8oAcg21Jv
Battle Rope Russian Twist,3 sets of 20 seconds work with 40 seconds rest,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Battle Ropes,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,3.0,20.0,40.0,180.0,,https://youtu.be/_-kclLM0Mak
Battle Rope Russian Twist,4 sets of 30 seconds work with 45 seconds rest,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Battle Ropes,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,4.0,30.0,45.0,300.0,,https://youtu.be/_-kclLM0Mak
Battle Rope Russian Twist,5 sets of 20 seconds work with 30 seconds rest,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Battle Ropes,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,5.0,20.0,30.0,250.0,,https://youtu.be/_-kclLM0Mak
Battle Rope Russian Twist,4 sets of 40 seconds work with 60 seconds rest,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Battle Ropes,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,4.0,40.0,60.0,400.0,,https://youtu.be/_-kclLM0Mak
Battle Rope Russian Twist,3 sets of 30 seconds work with 60 seconds rest,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Battle Ropes,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,3.0,30.0,60.0,270.0,,https://youtu.be/_-kclLM0Mak
Bodyweight Bird Dog Knee to Elbow,3 sets of 30 seconds work with 45 seconds rest,Beginner,Abdominals,Rectus Abdominis,Obliques,Gluteus Maximus,Bodyweight,1,,0,Quadruped,Single Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,Spinal Rotational,,Sagittal Plane,Transverse Plane,,Midsection,Other,Compound,Contralateral,Unsorted*,time,3.0,30.0,45.0,180.0,,https://youtu.be/1v4_Vsvk3gc
Bodyweight Bird Dog Knee to Elbow,4 sets of 40 seconds work with 60 seconds rest,Beginner,Abdominals,Rectus Abdominis,Obliques,Gluteus Maximus,Bodyweight,1,,0,Quadruped,Single Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,Spinal Rotational,,Sagittal Plane,Transverse Plane,,Midsection,Other,Compound,Contralateral,Unsorted*,time,4.0,40.0,60.0,340.0,,https://youtu.be/1v4_Vsvk3gc
Bodyweight Bird Dog Knee to Elbow,3 sets of 8 reps  with 45 seconds rest,Beginner,Abdominals,Rectus Abdominis,Obliques,Gluteus Maximus,Bodyweight,1,,0,Quadruped,Single Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,Spinal Rotational,,Sagittal Plane,Transverse Plane,,Midsection,Other,Compound,Contralateral,Unsorted*,rep,3.0,32.0,45.0,186.0,8.0,https://youtu.be/1v4_Vsvk3gc
Bodyweight Bird Dog Knee to Elbow,4 sets of 10 reps  with 60 seconds rest,Beginner,Abdominals,Rectus Abdominis,Obliques,Gluteus Maximus,Bodyweight,1,,0,Quadruped,Single Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,Spinal Rotational,,Sagittal Plane,Transverse Plane,,Midsection,Other,Compound,Contralateral,Unsorted*,rep,4.0,40.0,60.0,340.0,10.0,https://youtu.be/1v4_Vsvk3gc
Bodyweight Bird Dog Knee to Elbow,3 sets of 20 seconds work with 60 seconds rest,Beginner,Abdominals,Rectus Abdominis,Obliques,Gluteus Maximus,Bodyweight,1,,0,Quadruped,Single Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,Spinal Rotational,,Sagittal Plane,Transverse Plane,,Midsection,Other,Compound,Contralateral,Unsorted*,time,3.0,20.0,60.0,180.0,,https://youtu.be/1v4_Vsvk3gc
Slam Ball Feet Elevated Russian Twist,3 sets of 15 reps with 45 seconds rest,Intermediate,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Slam Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,3.0,37.5,45.0,247.5,15.0,https://youtu.be/W1FXse115qs
Slam Ball Feet Elevated Russian Twist,4 sets of 12 reps with 40 seconds rest,Intermediate,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Slam Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,4.0,30.0,40.0,280.0,12.0,https://youtu.be/W1FXse115qs
Slam Ball Feet Elevated Russian Twist,3 sets of 30 seconds work with 30 seconds rest,Intermediate,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Slam Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,3.0,30.0,30.0,180.0,,https://youtu.be/W1FXse115qs
Slam Ball Feet Elevated Russian Twist,4 sets of 45 seconds work with 45 seconds rest,Intermediate,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Slam Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,4.0,45.0,45.0,360.0,,https://youtu.be/W1FXse115qs
Slam Ball Feet Elevated Russian Twist,5 sets of 20 reps with 30 seconds rest,Intermediate,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Slam Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,5.0,50.0,30.0,400.0,20.0,https://youtu.be/W1FXse115qs
Medicine Ball Feet Elevated Russian Twist,3 sets of 30 seconds work with 30 seconds rest,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Medicine Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,3.0,30.0,30.0,150.0,,https://youtu.be/IdEocZzdUNY
Medicine Ball Feet Elevated Russian Twist,4 sets of 45 seconds work with 30 seconds rest,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Medicine Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,4.0,45.0,30.0,270.0,,https://youtu.be/IdEocZzdUNY
Medicine Ball Feet Elevated Russian Twist,3 sets of 20 reps with 45 seconds rest,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Medicine Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,3.0,40.0,45.0,210.0,20.0,https://youtu.be/IdEocZzdUNY
Medicine Ball Feet Elevated Russian Twist,4 sets of 30 reps with 60 seconds rest,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Medicine Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,rep,4.0,60.0,60.0,420.0,30.0,https://youtu.be/IdEocZzdUNY
Medicine Ball Feet Elevated Russian Twist,5 sets of 40 seconds work with 20 seconds rest,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Medicine Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,time,5.0,40.0,20.0,280.0,,https://youtu.be/IdEocZzdUNY
Alternating Double Dumbbell Prone Row,3 sets of 10 reps with 90 seconds rest,Novice,Back,Latissimus Dorsi,,,Dumbbell,2,Bench (Flat),1,Prone,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding,rep,3.0,50.0,90.0,420.0,10.0,https://youtu.be/Ry9HwpfUbd8?si=oY89SBibCyKMJ7CT
Alternating Double Dumbbell Prone Row,4 sets of 15 reps with 60 seconds rest,Novice,Back,Latissimus Dorsi,,,Dumbbell,2,Bench (Flat),1,Prone,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding,rep,4.0,75.0,60.0,540.0,15.0,https://youtu.be/Ry9HwpfUbd8?si=oY89SBibCyKMJ7CT
Alternating Double Dumbbell Prone Row,5 sets of 5 reps with 120 seconds rest,Novice,Back,Latissimus Dorsi,,,Dumbbell,2,Bench (Flat),1,Prone,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding,rep,5.0,25.0,120.0,605.0,5.0,https://youtu.be/Ry9HwpfUbd8?si=oY89SBibCyKMJ7CT
Alternating Double Dumbbell Prone Row,3 sets of 8 reps with 45 seconds rest,Novice,Back,Latissimus Dorsi,,,Dumbbell,2,Bench (Flat),1,Prone,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding,rep,3.0,40.0,45.0,210.0,8.0,https://youtu.be/Ry9HwpfUbd8?si=oY89SBibCyKMJ7CT
Alternating Double Dumbbell Prone Row,3 sets of 45 seconds work with 90 seconds rest,Novice,Back,Latissimus Dorsi,,,Dumbbell,2,Bench (Flat),1,Prone,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding,time,3.0,45.0,90.0,270.0,,https://youtu.be/Ry9HwpfUbd8?si=oY89SBibCyKMJ7CT
Bodyweight Forearm Plank Alternating Knee to Elbow,3 sets of 30 seconds hold with 30 seconds rest,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Prone,Double Arm,Continuous,Forearm,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,time,3.0,30.0,30.0,150.0,,https://youtu.be/A_JgZzr6o-k
